Index,  Heap Add,  LL Add,    STL Add
1,0.000011,0.000003,0.000008
2,0.000007,0.000004,0.000011
3,0.000003,0.000003,0.000006
4,0.000002,0.000003,0.000003
5,0.000002,0.000002,0.000005
6,0.000003,0.000002,0.000004
7,0.000003,0.000003,0.000003
8,0.000004,0.000008,0.000004
9,0.000003,0.000002,0.000005
10,0.000003,0.000003,0.000004
11,0.000002,0.000003,0.000003
12,0.000003,0.000002,0.000005
13,0.000003,0.000003,0.000003
14,0.000002,0.000002,0.000003
15,0.000002,0.000003,0.000003
16,0.000003,0.000003,0.000004
17,0.000002,0.000002,0.000006
18,0.000003,0.000003,0.000004
19,0.000004,0.000003,0.000005
20,0.000003,0.000002,0.000003
21,0.000003,0.000003,0.000008
22,0.000002,0.000002,0.000003
23,0.000003,0.000002,0.000003
24,0.000003,0.000002,0.000003
25,0.000003,0.000002,0.000003
26,0.000004,0.000003,0.000005
27,0.000004,0.000003,0.000005
28,0.000003,0.000002,0.000003
29,0.000003,0.000002,0.000003
30,0.000004,0.000003,0.000004
31,0.000002,0.000003,0.000003
32,0.000003,0.000003,0.000003
33,0.000004,0.000003,0.000016
34,0.000003,0.000003,0.000003
35,0.000003,0.000003,0.000004
36,0.000005,0.000004,0.000004
37,0.000003,0.000004,0.000004
38,0.000004,0.000003,0.000005
39,0.000004,0.000004,0.000004
40,0.000005,0.000004,0.000004
41,0.000002,0.000003,0.000004
42,0.000003,0.000003,0.000003
43,0.000002,0.000003,0.000003
44,0.000004,0.000004,0.000003
45,0.000004,0.000003,0.000005
46,0.000003,0.000004,0.000004
47,0.000004,0.000004,0.000005
48,0.000004,0.000005,0.000005
49,0.000005,0.000003,0.000005
50,0.000004,0.000003,0.000004
51,0.000004,0.000003,0.000005
52,0.000003,0.000005,0.000004
53,0.000004,0.000005,0.000004
54,0.000005,0.000003,0.000006
55,0.000003,0.000005,0.000005
56,0.000004,0.000004,0.000004
57,0.000005,0.000004,0.000006
58,0.000005,0.000005,0.000006
59,0.000004,0.000004,0.000006
60,0.000004,0.000004,0.000005
61,0.000005,0.000013,0.000005
62,0.000004,0.000004,0.000005
63,0.000005,0.000003,0.000005
64,0.000004,0.000003,0.000006
65,0.000003,0.000005,0.000026
66,0.000006,0.000004,0.000005
67,0.000006,0.000003,0.000007
68,0.000004,0.000004,0.000005
69,0.000003,0.000004,0.000003
70,0.000004,0.000002,0.000005
71,0.000004,0.000002,0.000004
72,0.000004,0.000002,0.000005
73,0.000004,0.000003,0.000004
74,0.000003,0.000005,0.000005
75,0.000006,0.000003,0.000008
76,0.000004,0.000005,0.000004
77,0.000004,0.000003,0.000004
78,0.000003,0.000002,0.000004
79,0.000004,0.000002,0.000006
80,0.000003,0.000002,0.000005
81,0.000002,0.000004,0.000004
82,0.000004,0.000003,0.000004
83,0.000003,0.000004,0.000003
84,0.000003,0.000002,0.000004
85,0.000002,0.000003,0.000003
86,0.000003,0.000003,0.000003
87,0.000002,0.000003,0.000004
88,0.000005,0.000004,0.000005
89,0.000005,0.000003,0.000004
90,0.000003,0.000003,0.000003
91,0.000002,0.000004,0.000003
92,0.000002,0.000003,0.000003
93,0.000003,0.000004,0.000003
94,0.000002,0.000003,0.000003
95,0.000002,0.000003,0.000003
96,0.000004,0.000003,0.000012
97,0.000002,0.000003,0.000003
98,0.000005,0.000002,0.000006
99,0.000002,0.000004,0.000003
100,0.000002,0.000003,0.000003
101,0.000003,0.000004,0.000003
102,0.000004,0.000002,0.000005
103,0.000003,0.000003,0.000004
104,0.000003,0.000004,0.000003
105,0.000003,0.000003,0.000003
106,0.000003,0.000004,0.000003
107,0.000003,0.000003,0.000004
108,0.000003,0.000003,0.000003
109,0.000002,0.000003,0.000003
110,0.000003,0.000003,0.000004
111,0.000002,0.000004,0.000003
112,0.000003,0.000003,0.000004
113,0.000004,0.000003,0.000005
114,0.000004,0.000002,0.000004
115,0.000003,0.000003,0.000003
116,0.000003,0.000004,0.000005
117,0.000004,0.000002,0.000005
118,0.000003,0.000003,0.000003
119,0.000004,0.000002,0.000004
120,0.000004,0.000004,0.000004
121,0.000003,0.000004,0.000003
122,0.000003,0.000007,0.000004
123,0.000003,0.000002,0.000004
124,0.000002,0.000003,0.000003
125,0.000003,0.000003,0.000004
126,0.000003,0.000005,0.000003
127,0.000002,0.000003,0.000003
128,0.000002,0.000004,0.000003
129,0.000002,0.000003,0.000031
130,0.000003,0.000003,0.000004
131,0.000004,0.000003,0.000005
132,0.000003,0.000005,0.000003
133,0.000003,0.000004,0.000003
134,0.000002,0.000004,0.000003
135,0.000003,0.000003,0.000004
136,0.000004,0.000003,0.000005
137,0.000003,0.000002,0.000004
138,0.000003,0.000002,0.000004
139,0.000002,0.000003,0.000003
140,0.000003,0.000004,0.000004
141,0.000002,0.000003,0.000003
142,0.000003,0.000005,0.000003
143,0.000002,0.000004,0.000003
144,0.000002,0.000004,0.000003
145,0.000004,0.000003,0.000005
146,0.000003,0.000004,0.000004
147,0.000003,0.000003,0.000003
148,0.000003,0.000004,0.000004
149,0.000003,0.000004,0.000004
150,0.000003,0.000004,0.000003
151,0.000003,0.000004,0.000004
152,0.000003,0.000003,0.000003
153,0.000002,0.000003,0.000003
154,0.000003,0.000002,0.000004
155,0.000002,0.000005,0.000004
156,0.000003,0.000002,0.000004
157,0.000003,0.000004,0.000003
158,0.000003,0.000003,0.000003
